Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
01100101|202012|01100101|3.419|19,398|gültig
01100102|202012|01100102|1.791|8,333|gültig
01100103|202012|01100103|5.211|32,632|gültig
01100104|202012|01100104|4.636|39,94|gültig
01100205|202012|01100205|2.573|19,758|gültig
01100206|202012|01100206|1.803|12,903|gültig
01100207|202012|01100207|8.312|18,895|gültig
01100308|202012|01100308|6.967|4,718|gültig
01100309|202012|01100309|12.352|12,837|gültig
01100310|202012|01100310|9.903|20,459|gültig
01100311|202012|01100311|9.013|38,727|gültig
01100312|202012|01100312|9.422|13,897|gültig
01100313|202012|01100313|10.779|16,221|gültig
01100414|202012|01100414|5.178|9,423|gültig
01100415|202012|01100415|12.593|7,099|gültig
01100416|202012|01100416|13.443|5,693|gültig
01200517|202012|01200517|3.725|58,7|gültig
01200518|202012|01200518|6.866|51,083|gültig
01200519|202012|01200519|9.103|41,851|gültig
01200520|202012|01200520|9.433|31,256|gültig
01200521|202012|01200521|5.235|51,399|gültig
01200522|202012|01200522|11.333|13,633|gültig
01200623|202012|01200623|10.825|28,665|gültig
01200624|202012|01200624|5.178|21,703|gültig
01200625|202012|01200625|6.976|47,308|gültig
01200626|202012|01200626|5.935|16,691|gültig
01200627|202012|01200627|3.280|46,276|gültig
01200628|202012|01200628|3.132|13,393|gültig
01200629|202012|01200629|5.807|14,088|gültig
01300730|202012|01300730|7.957|65,312|gültig
01300731|202012|01300731|8.545|61,983|gültig
01300732|202012|01300732|9.879|61,62|gültig
01300733|202012|01300733|11.665|55,963|gültig
01300834|202012|01300834|14.193|52,309|gültig
01300835|202012|01300835|10.443|44,779|gültig
01300836|202012|01300836|14.657|61,476|gültig
01400937|202012|01400937|10.804|42,9|gültig
01400938|202012|01400938|9.725|46,335|gültig
01400939|202012|01400939|5.926|45,209|gültig
01400940|202012|01400940|6.794|43,341|gültig
01400941|202012|01400941|3.786|42,347|gültig
01400942|202012|01400942|8.643|47,683|gültig
01401043|202012|01401043|7.739|60,188|gültig
01401044|202012|01401044|10.224|62,319|gültig
01401045|202012|01401045|5.722|59,936|gültig
01401046|202012|01401046|8.781|34,696|gültig
01401047|202012|01401047|7.867|51,687|gültig
01401048|202012|01401048|9.098|51,916|gültig
01401049|202012|01401049|6.689|65,132|gültig
02100101|202012|02100101|6.281|44,224|gültig
02100102|202012|02100102|8.647|53,437|gültig
02100103|202012|02100103|5.382|50,763|gültig
02100104|202012|02100104|5.567|56,935|gültig
02100105|202012|02100105|9.604|63,838|gültig
02100106|202012|02100106|5.009|61,721|gültig
02200207|202012|02200207|2.067|6,166|gültig
02200208|202012|02200208|6.008|24,354|gültig
02200209|202012|02200209|10.969|16,116|gültig
02200210|202012|02200210|12.384|19,426|gültig
02200211|202012|02200211|14.760|17,351|gültig
02200212|202012|02200212|8.602|34,876|gültig
02200213|202012|02200213|10.284|17,776|gültig
02300314|202012|02300314|7.587|47,931|gültig
02300315|202012|02300315|8.723|37,24|gültig
02300316|202012|02300316|4.215|31,961|gültig
02300417|202012|02300417|8.433|33,239|gültig
02300418|202012|02300418|7.710|23,82|gültig
02300419|202012|02300419|10.903|24,55|gültig
02400520|202012|02400520|5.451|33,333|gültig
02400521|202012|02400521|7.858|21,739|gültig
02400522|202012|02400522|11.262|13,206|gültig
02400623|202012|02400623|13.307|37,243|gültig
02400624|202012|02400624|11.314|10,949|gültig
02400625|202012|02400625|1.136|57,692|gültig
02500726|202012|02500726|9.134|18,657|gültig
02500727|202012|02500727|6.623|14,268|gültig
02500728|202012|02500728|10.109|11,055|gültig
02500729|202012|02500729|5.441|12,304|gültig
02500830|202012|02500830|3.931|11,404|gültig
02500831|202012|02500831|7.877|21,148|gültig
02500832|202012|02500832|9.064|23,927|gültig
02500833|202012|02500833|10.190|17,176|gültig
02500834|202012|02500834|11.378|9,319|gültig
02500835|202012|02500835|7.868|18,91|gültig
02500836|202012|02500836|4.709|3,891|gültig
03100101|202012|03100101|4.499|12,374|gültig
03100102|202012|03100102|3.214|25|gültig
03100103|202012|03100103|8.979|32,928|gültig
03200204|202012|03200204|2.058|4,24|gültig
03200205|202012|03200205|8.696|6,031|gültig
03200206|202012|03200206|6.404|7,032|gültig
03200207|202012|03200207|11.464|11,346|gültig
03200308|202012|03200308|5.220|4,817|gültig
03200309|202012|03200309|5.238|8,479|gültig
03200310|202012|03200310|7.961|10,178|gültig
03300411|202012|03300411|11.455|23,194|gültig
03300412|202012|03300412|5.138|2,134|gültig
03300413|202012|03300413|3.101|2,697|gültig
03300514|202012|03300514|6.875|4,055|gültig
03300515|202012|03300515|38|-9.999|ungültig (EW unter 300)
03300516|202012|03300516|7.779|12,6|gültig
03300517|202012|03300517|1.120|4,167|gültig
03400618|202012|03400618|4.742|4,7|gültig
03400619|202012|03400619|10.438|10,132|gültig
03400620|202012|03400620|3.509|2,583|gültig
03400721|202012|03400721|11.438|7,532|gültig
03400722|202012|03400722|3.607|4,448|gültig
03400723|202012|03400723|7.112|11,578|gültig
03400724|202012|03400724|7.633|15,409|gültig
03400725|202012|03400725|7.450|15,336|gültig
03400826|202012|03400826|6.620|12,406|gültig
03400827|202012|03400827|9.628|10,591|gültig
03400828|202012|03400828|4.615|8,787|gültig
03400829|202012|03400829|5.583|13,455|gültig
03400830|202012|03400830|9.292|18,823|gültig
03400831|202012|03400831|-|-9.999|ungültig (EW unter 300)
03500932|202012|03500932|5.096|20,92|gültig
03500933|202012|03500933|7.551|10,92|gültig
03500934|202012|03500934|10.049|9,626|gültig
03500935|202012|03500935|6.407|9,936|gültig
03500936|202012|03500936|9.819|15,559|gültig
03501037|202012|03501037|8.509|22,382|gültig
03501038|202012|03501038|7.324|20,408|gültig
03601139|202012|03601139|3.795|14,167|gültig
03601140|202012|03601140|5.884|4,676|gültig
03601141|202012|03601141|6.576|9,684|gültig
03601142|202012|03601142|10.744|6,122|gültig
03601243|202012|03601243|7.032|5,889|gültig
03601244|202012|03601244|7.600|7,041|gültig
03601245|202012|03601245|12.813|17,761|gültig
03601346|202012|03601346|5.470|9,871|gültig
03601347|202012|03601347|9.548|8,077|gültig
03601348|202012|03601348|7.516|5,845|gültig
03601449|202012|03601449|9.970|35,38|gültig
03601450|202012|03601450|3.965|50,588|gültig
03601451|202012|03601451|6.373|9,822|gültig
03601452|202012|03601452|4.063|24,95|gültig
03601453|202012|03601453|2.825|0,664|gültig
03701554|202012|03701554|11.328|6,497|gültig
03701555|202012|03701555|7.274|5,195|gültig
03701556|202012|03701556|8.656|6,242|gültig
03701657|202012|03701657|3.188|24,424|gültig
03701658|202012|03701658|8.448|6,536|gültig
03701659|202012|03701659|9.164|8,127|gültig
03701660|202012|03701660|12.823|6,207|gültig
04100101|202012|04100101|11.548|43,975|gültig
04100102|202012|04100102|7.855|50,644|gültig
04200203|202012|04200203|1.482|7,182|gültig
04200204|202012|04200204|2.832|11,397|gültig
04200205|202012|04200205|2.569|7,664|gültig
04200206|202012|04200206|2.963|7,506|gültig
04200207|202012|04200207|3.192|3,158|gültig
04200308|202012|04200308|6.379|19,509|gültig
04200309|202012|04200309|6.936|10,219|gültig
04200310|202012|04200310|7.809|13,409|gültig
04200311|202012|04200311|7.218|18,933|gültig
04300412|202012|04300412|3.329|22|gültig
04300413|202012|04300413|10.334|24,617|gültig
04300414|202012|04300414|10.786|13,366|gültig
04300415|202012|04300415|6.488|13,766|gültig
04300416|202012|04300416|12.145|16,082|gültig
04300517|202012|04300517|9.637|26,087|gültig
04300518|202012|04300518|5.930|29,641|gültig
04300619|202012|04300619|8.859|21,885|gültig
04300620|202012|04300620|3.429|24,118|gültig
04300621|202012|04300621|10.811|24,363|gültig
04300622|202012|04300622|5.157|24,957|gültig
04300623|202012|04300623|12.121|21,468|gültig
04300624|202012|04300624|9.538|14,505|gültig
04400725|202012|04400725|110|-9.999|ungültig (EW unter 300)
04400726|202012|04400726|5.470|12,146|gültig
04400727|202012|04400727|8.264|15,225|gültig
04400728|202012|04400728|3.173|3,553|gültig
04400729|202012|04400729|2.796|5,495|gültig
04400830|202012|04400830|7.119|14,896|gültig
04400831|202012|04400831|1.513|3,529|gültig
04400832|202012|04400832|7.023|9,342|gültig
04400833|202012|04400833|4.178|31,49|gültig
04400834|202012|04400834|3.574|8,209|gültig
04400835|202012|04400835|10.593|8,094|gültig
04500936|202012|04500936|5.638|22,017|gültig
04500937|202012|04500937|7.683|9,61|gültig
04500938|202012|04500938|7.919|16,876|gültig
04500939|202012|04500939|6.496|19,285|gültig
04501040|202012|04501040|5.998|7,072|gültig
04501041|202012|04501041|5.597|11,797|gültig
04501042|202012|04501042|3.581|31,671|gültig
04501043|202012|04501043|11.048|11,701|gültig
04501044|202012|04501044|5.283|15,2|gültig
04501045|202012|04501045|9.334|16,685|gültig
04501146|202012|04501146|4.715|28,482|gültig
04501147|202012|04501147|5.625|19,07|gültig
04501148|202012|04501148|4.436|24,053|gültig
04501149|202012|04501149|9.834|15,834|gültig
04501150|202012|04501150|3.071|11,314|gültig
04501151|202012|04501151|7.572|9,649|gültig
04501152|202012|04501152|6.913|9,956|gültig
04501153|202012|04501153|7.489|19,741|gültig
05100101|202012|05100101|4.079|8,813|gültig
05100102|202012|05100102|4.390|38,716|gültig
05100103|202012|05100103|5.873|32,891|gültig
05100104|202012|05100104|4.830|29,779|gültig
05100105|202012|05100105|7.608|19,27|gültig
05100206|202012|05100206|3.619|43,192|gültig
05100207|202012|05100207|2.314|7,983|gültig
05100208|202012|05100208|10.703|49,486|gültig
05100209|202012|05100209|11.547|48,574|gültig
