PLR_id,total_population,<6,6-15,15-18
01100101,3436,140,159,38
01100102,1791,91,106,25
01100103,5251,273,318,114
01100104,4677,261,398,131
01100205,2732,120,138,58
01100206,1823,102,110,31
01100207,8379,479,444,137
01100308,7032,438,441,95
01100309,12314,691,950,311
01100310,10043,496,540,144
01100311,9197,527,652,169
01100312,9772,568,504,117
01100313,10715,630,571,140
01100414,5185,489,361,77
01100415,12666,727,1049,306
01100416,13435,936,1181,240
01200517,3723,244,252,97
01200518,6851,365,427,128
01200519,9097,455,583,190
01200520,9375,495,572,171
01200521,5208,290,393,133
01200522,11365,599,672,227
01200623,10763,636,713,216
01200624,5709,470,343,83
01200625,6910,422,582,202
01200626,5873,306,355,102
01200627,3263,249,369,101
01200628,3182,140,201,80
01200629,5913,213,246,80
01300730,7990,582,869,259
01300731,8533,574,737,244
01300732,9837,745,932,291
01300733,11523,685,1026,306
01300834,14263,1121,1647,489
01300835,10426,681,960,263
01300836,14594,907,1271,457
01400937,10640,588,707,223
01400938,9708,531,657,242
01400939,5921,352,382,110
01400940,6748,464,488,118
01400941,3761,198,189,54
01400942,8599,473,520,178
01401043,7627,425,641,252
01401044,10115,675,910,259
01401045,5667,398,516,170
01401046,8745,487,472,167
01401047,7945,419,589,164
01401048,9181,482,615,213
01401049,6666,378,497,169
02100101,6257,368,508,172
02100102,8633,551,864,313
02100103,5385,374,531,155
02100104,5587,373,538,190
02100105,9527,563,940,294
02100106,5028,288,496,170
02200207,2083,174,201,29
02200208,5922,330,482,149
02200209,10906,733,806,227
02200210,12299,735,793,258
02200211,14747,808,944,316
02200212,8528,567,728,226
02200213,10185,596,693,204
02300314,7502,328,533,215
02300315,8626,477,662,211
02300316,4214,215,314,77
02300417,8268,395,652,196
02300418,7705,433,508,144
02300419,10728,598,633,223
02400520,5641,294,382,127
02400521,7799,484,524,128
02400522,11268,821,735,136
02400623,13331,871,815,224
02400624,11270,560,689,166
02400625,1119,59,96,31
02500726,9116,573,556,109
02500727,6567,428,422,95
02500728,10078,686,724,193
02500729,5436,388,423,108
02500830,3928,245,212,58
02500831,7910,471,538,105
02500832,9029,730,619,147
02500833,10145,605,497,116
02500834,11421,774,817,175
02500835,7930,513,470,83
02500836,4788,510,465,101
03100101,4536,362,429,87
03100102,3173,257,229,64
03100103,8897,608,856,244
03200204,2055,86,192,48
03200205,8690,496,816,252
03200206,6326,404,672,206
03200207,11452,729,1215,349
03200308,5223,282,562,151
03200309,5239,341,534,156
03200310,7969,559,795,237
03300411,11271,965,1255,330
03300412,5139,264,403,120
03300413,3116,158,321,100
03300514,6820,340,667,188
03300515,51,3,8,4
03300516,7764,474,641,197
03300517,1110,29,83,31
03400618,4835,303,517,170
03400619,10366,565,832,285
03400620,3534,166,392,129
03400721,11419,847,1380,345
03400722,3624,221,406,127
03400723,7051,580,729,159
03400724,7588,477,722,162
03400725,7423,453,667,147
03400826,6672,411,635,144
03400827,9624,630,775,178
03400828,4806,291,315,72
03400829,5529,347,502,138
03400830,9256,536,737,184
03400831,0,0,0,0
03500932,5336,360,385,101
03500933,7569,445,705,168
03500934,10186,791,826,198
03500935,6471,460,617,177
03500936,9797,680,1097,284
03501037,8510,520,563,158
03501038,7451,445,660,174
03601139,3771,248,242,59
03601140,5914,385,482,107
03601141,6547,433,495,115
03601142,10654,695,907,202
03601243,6958,412,463,97
03601244,7549,427,503,128
03601245,12754,688,661,196
03601346,5623,336,522,160
03601347,9433,636,904,242
03601348,7439,432,612,149
03601449,9896,397,556,167
03601450,3971,352,411,94
03601451,6340,394,459,92
03601452,4203,247,272,64
03601453,2820,266,511,110
03701554,11363,735,1028,320
03701555,7244,465,598,196
