PLR, total, 0>6, 6>15, 15>18
01100101,3503,169,181,35
01100102,1996,103,131,28
01100103,5537,262,342,108
01100104,4850,254,400,128
01100205,2981,139,177,38
01100206,1893,117,119,33
01100207,8814,486,552,163
01100308,7371,438,464,116
01100309,12518,685,932,332
01100310,10276,533,596,158
01100311,9437,521,664,165
01100312,10136,596,565,133
01100313,11016,621,646,174
01100414,5560,517,472,91
01100415,12997,733,1077,322
01100416,13400,867,1180,299
01200517,3771,212,297,92
01200518,6935,377,439,133
01200519,9200,463,621,205
01200520,9552,482,588,141
01200521,5239,276,366,141
01200522,11575,590,710,241
01200623,10922,590,744,209
01200624,6396,501,377,94
01200625,6927,418,593,214
01200626,5905,295,362,103
01200627,3354,246,380,122
01200628,3235,160,206,65
01200629,5902,225,263,81
01300730,8042,558,863,264
01300731,8694,539,776,245
01300732,9845,729,933,308
01300733,11638,704,1063,319
01300834,14372,1096,1626,541
01300835,10764,635,971,271
01300836,14964,939,1340,460
01400937,10840,585,708,249
01400938,9690,498,657,219
01400939,6011,362,393,108
01400940,6803,479,497,125
01400941,3854,215,202,64
01400942,8739,489,515,166
01401043,7746,426,635,259
01401044,10137,652,891,264
01401045,5593,370,524,169
01401046,8867,496,496,153
01401047,7860,437,567,173
01401048,9445,498,610,200
01401049,6729,372,498,154
02100101,6381,360,535,175
02100102,8705,561,833,314
02100103,5406,350,510,167
02100104,5667,338,524,200
02100105,9492,563,875,305
02100106,4990,253,481,172
02200207,2446,204,226,40
02200208,5889,317,474,160
02200209,10922,676,857,244
02200210,12233,686,834,249
02200211,14703,786,902,334
02200212,8564,557,768,212
02200213,10172,551,723,203
02300314,7466,328,517,199
02300315,8519,455,653,226
02300316,4239,192,312,87
02300417,8180,417,635,182
02300418,7746,416,518,142
02300419,10675,520,692,207
02400520,5815,345,433,117
02400521,8083,511,550,159
02400522,11343,753,786,175
02400623,13541,886,885,253
02400624,11885,613,730,210
02400625,1086,41,78,21
02500726,9285,579,593,115
02500727,6642,438,461,127
02500728,10103,682,712,202
02500729,5489,371,461,102
02500830,4032,234,254,57
02500831,7981,438,557,130
02500832,9351,736,655,136
02500833,10283,620,521,113
02500834,11506,771,849,202
02500835,8044,510,498,104
02500836,4987,485,498,98
03100101,4668,382,463,85
03100102,3298,225,247,78
03100103,9312,639,910,265
03200204,2056,90,185,54
03200205,8809,481,815,263
03200206,6595,426,725,205
03200207,11493,708,1251,346
03200308,5284,271,581,159
03200309,5387,355,574,151
03200310,8035,524,825,275
03300411,11588,937,1371,364
03300412,5262,294,438,115
03300413,3147,150,341,110
03300514,6954,342,719,214
03300515,52,4,6,3
03300516,8288,502,756,215
03300517,1113,34,91,17
03400618,4851,301,497,180
03400619,10477,593,845,260
03400620,3534,166,382,139
03400721,11772,848,1419,388
03400722,3643,203,402,131
03400723,7100,542,760,168
03400724,7566,453,693,179
03400725,7414,431,681,169
03400826,6907,454,663,152
03400827,9676,571,786,187
03400828,4868,285,305,99
03400829,5783,323,545,150
03400830,9318,539,743,200
03400831,0,0,0,0
03500932,6018,426,475,137
03500933,7731,431,704,217
03500934,10310,744,861,215
03500935,6655,484,640,203
03500936,9911,642,1097,302
03501037,8588,501,583,164
03501038,7413,428,708,167
03601139,3760,250,263,55
03601140,5987,331,486,132
03601141,6634,423,507,142
03601142,10987,650,945,250
03601243,6983,390,479,91
03601244,7619,395,516,148
03601245,12950,687,700,202
03601346,6015,363,549,158
03601347,9432,582,888,268
03601348,7486,450,654,167
03601449,9906,402,566,180
03601450,4149,387,463,112
03601451,6368,369,493,102
03601452,4615,284,298,77
03601453,3068,268,509,135
03701554,11523,697,1029,319
03701555,7325,448,595,185
03701556,8718,680,790,241
03701657,3180,179,253,76
03701658,8523,509,763,220
03701659,9229,586,868,230
03701660,12916,793,1269,454
04100101,11419,642,823,261
04100102,7787,492,814,212
04200203,1503,60,142,58
04200204,2925,151,160,48
04200205,2565,109,210,75
04200206,2910,134,288,104
04200207,3015,100,274,91
04200308,6180,304,409,141
04200309,6777,305,434,130
04200310,7648,341,557,179
04200311,7270,324,441,123
04300412,4113,265,218,48
04300413,10001,564,800,261
04300414,10674,509,666,240
04300415,6306,285,350,106
04300416,11863,624,729,256
04300517,9496,451,560,153
04300518,5801,292,362,112
04300619,8822,421,509,195
04300620,3544,188,209,64
04300621,10590,574,643,189
04300622,5206,304,356,95
04300623,12179,589,718,245
04300624,9250,417,468,158
04400725,116,0,0,0
04400726,5457,322,491,148
04400727,8295,391,552,162
04400728,3207,163,284,81
04400729,2863,152,255,60
04400830,7493,477,665,220
04400831,1539,57,134,40
04400832,6877,290,495,156
04400833,4094,201,245,69
04400834,3523,145,225,65
04400835,10343,488,700,260
04500936,5587,279,357,120
04500937,7860,359,502,141
04500938,8072,400,522,147
04500939,6616,372,448,128
04501040,5966,272,360,119
04501041,5263,246,319,112
04501042,3668,178,260,89
04501043,11040,513,720,222
04501044,5405,246,377,117
04501045,9215,411,525,158
04501146,4485,263,302,78
04501147,5496,257,378,138
04501148,4503,240,358,126
04501149,9889,489,666,246
04501150,3038,129,173,45
04501151,7385,359,533,183
04501152,6886,275,452,125
04501153,7380,397,497,171
05100101,4321,310,388,105
05100102,4265,225,251,99
05100103,6021,609,534,92
05100104,5538,412,611,177
05100105,7633,339,520,188
05100206,3630,209,452,140
05100207,2287,105,136,58
05100208,10880,766,1099,317
05100209,11763,743,1263,375
05100210,7799,471,608,145
05100211,6082,299,453,191
05100312,4134,236,351,91
05100313,6227,389,603,208
05100314,7393,543,726,234
05100315,6897,459,577,164
05100316,10326,637,825,268
05100317,3611,246,372,116
05200418,3929,200,334,130
05200419,1666,54,103,27
05200420,5874,288,455,163
05200421,4367,285,438,136
05200422,1124,94,122,21
05200423,6649,448,614,184
05200524,3417,214,394,141
05200525,2421,152,212,44
05200526,5665,387,738,211
05200527,11762,995,1682,503
05200528,7132,373,488,168
05200629,8375,504,574,174
05200630,9881,537,775,231
05200631,8488,472,600,189
05200632,3713,202,392,138
05200633,2019,112,166,45
05200634,4425,178,213,100
05300735,3429,411,317,91
05300736,3640,288,537,158
05300737,11709,727,852,237
05300838,30,0,0,0
05300839,7765,438,743,239
05300840,462,22,33,9
05300841,4580,261,364,98
05400942,3808,149,339,127
05400943,10480,667,1265,392
05400944,2243,93,192,61
05400945,3728,181,354,114
06100101,6887,275,462,188
06100102,9101,531,715,172
06100103,6227,354,441,128
06100204,6855,325,448,172
06100205,9965,599,719,205
06100206,7710,368,532,170
06100207,8065,449,549,161
06100208,6871,366,474,129
06100209,9288,510,627,175
06100210,4924,242,378,83
06200311,4970,238,378,128
06200312,6046,320,449,149
06200313,7400,408,523,123
06200314,7176,427,517,135
06200315,6622,432,582,144
06200316,5302,292,396,142
06200317,6363,344,502,157
06200418,0,0,0,0
06200419,4552,249,389,120
06200420,7218,372,570,194
06200421,8340,405,628,214
06200422,7176,351,587,189
06200423,8665,443,822,258
06300524,5735,209,498,193
06300525,5694,304,414,118
06300526,3371,190,312,106
06300527,8345,392,567,178
06300528,11121,449,1005,363
06300629,7083,277,497,176
06300630,5596,320,452,155
06300631,2963,114,263,85
06300632,13986,770,1495,491
06300633,12069,572,993,329
06300634,8540,407,807,272
06400735,10246,481,1047,314
06400736,5246,266,532,190
06400737,11370,467,1039,335
06400838,7592,371,637,249
06400839,5318,224,480,155
06400840,7221,260,623,236
06400841,6222,311,502,184
06400842,4874,281,629,187
06400843,4783,190,466,190
06400844,7356,384,678,246
07100101,9835,445,555,155
07100102,8628,429,559,174
07100103,7729,426,583,230
07100204,10423,566,659,221
07100205,5235,254,471,179
07100206,8344,513,556,180
07200307,10572,490,674,207
07200308,10505,626,769,221
07200409,9367,483,623,169
07200410,5653,355,454,127
07200411,2753,152,179,60
07200412,1907,189,129,27
07200413,7777,468,520,144
07200414,3750,212,299,56
07300515,6900,382,480,180
07300516,8921,428,653,253
07300517,9374,595,828,246
07300618,9328,545,668,240
07300619,12293,734,991,292
07400720,11976,644,922,229
07400721,5411,306,664,193
07400822,2808,177,221,59
07400823,9719,572,633,202
07400824,7323,481,581,128
07400825,7354,461,535,159
07400826,5112,265,301,109
07400927,11284,719,840,267
07400928,3938,257,296,73
07501029,8197,523,627,156
07501030,8795,482,671,172
07501031,9083,495,544,178
07501032,5761,355,391,145
07501133,7991,423,556,185
07501134,10574,594,809,251
07501135,2257,111,169,56
07601236,10238,644,1041,347
07601237,4765,240,370,149
07601238,2867,147,289,85
07601339,5682,356,516,156
07601340,6420,380,567,180
07601341,2249,127,171,50
07601442,10413,569,822,262
07601443,10949,618,987,306
07601544,8944,621,825,232
07601545,8307,509,897,301
07601546,7008,386,541,204
07601547,3923,289,350,103
07601548,2925,165,275,78
08100101,4725,242,271,99
08100102,8285,389,545,142
08100103,7413,441,437,126
08100104,6638,373,484,140
08100105,5826,366,455,187
08100206,9655,469,629,220
08100207,7484,449,740,275
08100208,12325,701,904,293
08100209,8613,423,620,217
08100310,7858,400,577,196
08100311,7322,370,429,114
08100312,11936,700,771,206
08100313,3845,204,262,80
08100314,8088,423,562,197
08100415,6473,386,469,130
08100416,6493,394,494,131
08100417,9791,571,662,253
08100418,9539,529,578,179
08100419,7186,544,678,207
08100520,5826,523,733,182
08100521,9566,614,1249,392
08200622,5679,468,570,198
08200623,5998,427,532,156
08200624,8863,520,665,185
08200725,2507,106,223,76
08200726,6193,374,545,156
08200727,7979,407,483,121
08200728,1207,42,82,26
08200729,1888,103,217,53
08200730,3351,126,254,92
08200831,8378,475,620,161
08200832,11687,648,1012,285
08200833,8586,481,836,253
08300934,12544,875,1104,331
08300935,7344,394,449,165
08301036,7169,483,598,235
08301037,10990,813,1051,307
08401138,2898,173,304,83
08401139,4100,200,227,77
08401140,2695,138,234,70
08401241,8302,453,709,240
08401242,6868,339,585,179
08401243,10061,598,793,266
08401244,7232,398,719,179
08401245,3723,265,332,117
08401246,7908,538,726,226
09100101,13269,937,1198,318
09100202,4358,288,418,98
09100203,6989,302,313,83
09100304,11889,671,753,189
09100305,4173,248,239,63
09100306,3136,196,326,107
09100407,8467,443,564,150
09100408,8307,525,679,146
09100409,3948,231,364,143
09200510,7634,543,550,153
09200511,13007,928,1129,277
09200512,3878,242,241,55
09200613,10262,711,714,184
09200614,3575,168,270,89
09200715,3150,336,201,37
09200716,7716,486,617,164
09200717,9708,589,697,206
09200818,3491,220,225,49
09200819,8473,583,799,241
09300920,12458,949,1272,344
09300921,2788,155,253,72
09300922,5920,401,611,185
09300923,8138,617,1020,257
09301024,3011,237,263,84
09301025,11024,567,982,269
09301126,7786,519,534,141
09301227,1905,108,155,51
09301228,2709,166,219,66
09401329,10180,402,631,169
09401330,1899,88,186,37
09401431,5738,323,396,122
09401432,1540,93,154,36
09401433,4444,201,288,124
09401534,7453,530,762,228
09401635,6964,334,622,156
09501736,4599,277,323,92
09501737,14530,786,1219,361
09501838,10582,585,887,286
09501939,6485,460,476,129
09501940,2704,194,192,33
09501941,2779,144,145,33
09502042,4218,277,328,94
09502043,9166,365,597,190
10100101,5792,394,594,181
10100102,3616,255,367,108
10100103,7718,482,713,233
10100104,7575,517,910,299
10100205,1301,143,126,33
10100206,11319,744,1097,321
10100207,8224,451,795,223
10100208,9523,503,630,116
10100209,8302,504,788,262
10100210,10825,598,937,287
10100311,2239,139,169,50
10100312,15164,779,1176,385
10100313,4846,249,312,91
10100314,6353,280,568,154
10100315,7473,459,664,224
10100316,3732,303,313,76
10200417,7282,603,1008,290
10200418,6197,475,524,150
10200419,4124,336,467,119
10200420,7288,560,781,206
10200421,1813,132,184,52
10200422,6637,545,787,219
10200423,6051,456,666,189
10200524,11079,909,942,241
10200525,5343,465,621,206
10200526,6026,457,823,244
10200627,3543,221,257,51
10200628,6481,602,779,194
10200629,9098,489,656,170
10200630,6456,328,483,154
10300731,7767,346,535,144
10300732,7078,470,503,143
10300733,4832,397,406,94
10300734,10593,562,1025,295
10400835,7858,422,658,198
10400836,3886,214,309,88
10400837,7788,370,745,205
10400938,10146,599,951,233
10400939,4481,257,404,96
10400940,5903,258,538,136
10400941,9814,559,953,260
11100101,3363,141,270,114
11100102,2996,325,380,91
11100203,9085,688,1021,279
11100204,7036,462,730,233
11100205,6244,439,582,181
11100206,7677,646,852,184
11100307,11795,712,1081,339
11100308,9570,613,993,294
11100309,6265,373,457,140
11200410,10153,807,1147,267
11200411,6864,393,611,175
11200512,3928,272,470,123
11200513,10079,708,801,188
11200514,15741,1068,1344,411
11200515,4296,345,325,93
11300616,5997,327,423,118
11300617,4336,257,236,69
11300618,3798,221,214,54
11300619,8527,336,538,171
11300620,11370,659,896,254
11300721,6043,351,395,92
11300722,10300,698,729,142
11300723,2596,188,248,67
11300724,4131,247,248,91
11300725,10072,745,779,172
11300826,9891,530,761,221
11400927,4229,356,431,134
11400928,2514,203,202,48
11400929,16558,1173,1204,255
11400930,4709,278,207,48
11400931,6844,359,492,153
11401032,6185,328,333,96
11401033,6854,496,654,189
11401034,3360,212,246,69
11401135,10929,900,811,218
11401136,8117,313,335,81
11401137,8678,570,647,213
11501238,4438,453,526,161
11501339,10422,885,918,183
11501340,10785,734,1050,297
11501341,7710,432,1047,273
12100101,10970,803,958,280
12100102,9871,616,860,304
12100103,7592,409,496,154
12100204,8856,529,647,173
12100205,13881,892,1040,323
12100206,4656,269,274,89
12200307,2715,141,178,56
12200308,5725,281,381,128
12200309,10931,670,908,310
12200310,8095,558,796,283
12200411,342,25,33,6
12200412,6375,358,528,136
12200413,8058,472,640,234
12200414,1649,83,124,35
12200515,11071,571,609,184
12400616,6030,286,520,197
12400617,6835,320,600,215
12400618,3776,244,370,81
12400619,7780,375,664,223
12400720,8624,426,791,246
12400721,8090,384,823,295
12400722,8585,404,771,251
12400723,8168,414,699,211
12500824,9622,443,611,181
12500825,6824,359,431,129
12500926,5074,217,250,63
12500927,6621,370,483,179
12500928,5205,328,415,139
12500929,5102,250,482,162
12500930,10192,499,763,223
12601031,3268,146,179,70
12601032,5978,516,773,264
12601133,11395,837,1455,443
12601134,15645,1187,1815,578
12601235,10650,770,1461,487
12601236,3147,147,247,82































