PLR_id,playground_id
11501341,00008100:001c9317
11501341,00008100:001c9482
11501341,00008100:001c95fe
11501341,00008100:001c9640
11501341,00008100:001c96f5
07601340,00008100:0012d6fc
07601340,00008100:0012d8f6
07601340,00008100:0012d91d
07601340,00008100:0012d92a
02500831,00008100:00146dc3
02500831,00008100:00146dc7
12601134,00008100:0010421f
12601134,00008100:00104363
12601134,00008100:001044d3
12601134,00008100:001044d6
12601134,00008100:001044d9
12601134,00008100:002fb0dc
07601547,00008100:0012d709
07601547,00008100:0012d8eb
07601547,00008100:0012d9e3
08301036,00008100:000a6be3
08301036,00008100:000a6bef
08301036,00008100:000a6bf1
08301036,00008100:000a6cae
08301036,00008100:000a6cd6
08301036,00008100:000a6dc2
05200421,00008100:0011df9c
05200418,00008100:0011df22
11501238,00008100:001c9473
11501238,00008100:001c9613
07200412,00008100:0012d7a2
07100103,00008100:0012d7a5
07100103,00008100:0012d7e3
07100103,00008100:0012dcd4
07100103,00008100:0012dcd6
07100103,00008100:0012dcd7
03400618,00008100:0016d076
03400618,00008100:0016d078
03400618,00008100:0016d103
10200526,00008100:0019925d
10200526,00008100:001993c2
10200526,00008100:00199727
10200526,00008100:0019972a
07300516,00008100:0012d88f
07300516,00008100:0012d890
07300516,00008100:0012d891
07300516,00008100:0012d893
07300516,00008100:0012d896
02300315,00008100:00146c35
02300315,00008100:00146c43
02300315,00008100:00146c6f
02300315,00008100:00146ca0
02300315,00008100:00146cc4
02300315,00008100:0028162f
07601548,00008100:0012d919
10100314,00008100:001991b6
10100314,00008100:001991fa
10100314,00008100:001991fe
10100314,00008100:001991ff
10100314,00008100:00199203
10100314,00008100:00199216
07601443,00008100:0012d6da
07601443,00008100:0012d721
07601443,00008100:0012d8e9
07601443,00008100:00248f77
03601245,00008100:0016cf49
03601245,00008100:0016cf8f
03601245,00008100:0016cf9f
03601245,00008100:0016cfc0
02500832,00008100:00146b8f
02500832,00008100:00146b9f
02500832,00008100:00146c11
02500832,00008100:00146d2d
02500832,00008100:00146d2e
10200630,00008100:001993ca
10200630,00008100:00199501
02100104,00008100:00146c40
02100104,00008100:00146c7d
02100104,00008100:00146cd3
02100104,00008100:002f2e3c
03701554,00008100:0016cf29
03701554,00008100:0016cf9e
03701554,00008100:0016d00b
03701554,00008100:0016d3f9
03701554,00008100:0016d41e
03500933,00008100:0016ce7e
03500933,00008100:0016cfb4
03500933,00008100:0016cfd1
03500933,00008100:0016cff2
03500933,00008100:0016cff4
07100204,00008100:0012d7d6
07100204,00008100:0012dcdb
07100204,00008100:0012dcdd
07100204,00008100:0012dce2
07100204,00008100:0012dce3
07100204,00008100:0012dce8
07100204,00008100:0012dce9
08100312,00008100:000a6b4c
08100312,00008100:000a6d10
08100312,00008100:000a6d44
08100312,00008100:000a6d47
08100312,00008100:000a6d54
10100103,00008100:0019916e
10100103,00008100:00199459
03601451,00008100:0016d011
03601451,00008100:0016d075
03601451,00008100:0016d147
03601451,00008100:0016d161
03601451,00008100:0016d373
06400736,00008100:000e3a49
06400736,00008100:000e3b18
06400736,00008100:000e3bb9
01400937,00008100:0014b9f6
01400937,00008100:0014ba4f
01400937,00008100:0014bf19
01400937,00008100:0014bf20
01400937,00008100:0014bf2a
01400937,00008100:0014bf33
01400937,00008100:0014bf36
01400937,00008100:0014bf37
01400937,00008100:0014bf52
07601339,00008100:0012d91d
06300632,00008100:000e3822
06300632,00008100:000e3bf0
06300632,00008100:000e3bf3
06300632,00008100:000e3c99
05100103,00008100:0011df3b
05100103,00008100:0028dc39
08100314,00008100:000a6b63
04500938,00008100:000a3249
04500938,00008100:000a3253
04500938,00008100:000a325d
07400826,00008100:0012d6e2
07400826,00008100:0012d8e3
07400826,00008100:0012d902
07400826,00008100:0012d90b
07400826,00008100:0012d92d
09501939,00008100:001c64ee
09501939,00008100:001c68c1
09501939,00008100:001c69f1
09501939,00008100:001c69f2
06100208,00008100:000e3748
06100208,00008100:000e3ca1
06100208,00008100:000e3ca3
03200206,00008100:0016d0e5
03200206,00008100:0016d3f3
03601452,00008100:0016d010
11200513,00008100:001c92cb
11200513,00008100:001c9619
11200513,00008100:001c961a
05100104,00008100:0011de74
05100104,00008100:0011de88
05100104,00008100:0011e2bb
05100104,00008100:0011e2e0
05100104,00008100:0011e2eb
03400725,00008100:0016d0c1
03400725,00008100:0016d0e3
03400725,00008100:0016d0e6
03400725,00008100:0016d0fc
03400725,00008100:0016d102
04300416,00008100:000a3171
04300416,00008100:000a3199
04300416,00008100:000a31b4
04300416,00008100:000a31cc
04501148,00008100:000a3133
04501148,00008100:000a3267
04501148,00008100:000a329c
08401244,00008100:000a6dc0
08401244,00008100:000a6de2
09301024,00008100:001c64c4
09301024,00008100:001c651d
09301024,00008100:001c65a5
06400843,00008100:000e3829
06400843,00008100:000e3854
06400843,00008100:000e385f
06400843,00008100:000e387f
12200412,00008100:0010447f
12200412,00008100:001044c5
12200515,00008100:00104202
12200515,00008100:00104380
12200515,00008100:00104456
12200515,00008100:0010445f
12200515,00008100:001044ce
12200515,00008100:00104606
07501135,00008100:0012d904
01100103,00008100:0014b839
01100103,00008100:0014b8b6
01100103,00008100:0014b8bb
01100103,00008100:0014b8db
01100103,00008100:0014b900
03701658,00008100:0016cf59
03701658,00008100:0016d410
03701658,00008100:0016d412
03701658,00008100:0016d414
03701658,00008100:0016d41a
05100312,00008100:0011dfb7
03601449,00008100:0016d015
03601449,00008100:0016d150
03601449,00008100:0016d152
03601449,00008100:0016d153
03601449,00008100:0016d154
03601449,00008100:0016d157
03601449,00008100:0016d167
03601449,00008100:0016d168
03601449,00008100:0016d169
03601449,00008100:0016d16a
03601449,00008100:0016d16b
03601449,00008100:0016d17f
11400928,00008100:001c940a
11400928,00008100:001c9550
11400928,00008100:001c9560
01300835,00008100:0014b9ae
01300835,00008100:0014bf0b
01300835,00008100:0014bf26
01300835,00008100:0014bf34
01300835,00008100:0014bf3e
01300835,00008100:0014bf3f
01300835,00008100:0014bf45
01300835,00008100:0014bf4d
01300835,00008100:0014bf55
01401044,00008100:0014bf13
01401044,00008100:0014bf38
01401044,00008100:0014bf57
04300621,00008100:000a3186
04300621,00008100:000a31a4
04300621,00008100:000a31c7
04300620,00008100:000a318f
04300620,00008100:000a3348
01200520,00008100:0014b882
01200520,00008100:0014b88c
01200520,00008100:0014b8cd
01200520,00008100:0014bcc3
12500929,00008100:0010461c
08200831,00008100:000a6cf4
08200831,00008100:000a6cf5
08200831,00008100:000a6e51
08200831,00008100:000a6e53
08200831,00008100:000a6e57
09200818,00008100:001c69ed
09200818,00008100:001c6bc9
09200818,00008100:002acea6
06300528,00008100:000e388c
06300528,00008100:000e3896
06300528,00008100:000e3a58
06300528,00008100:000e3a94
06300528,00008100:000e3b02
10100102,00008100:00199332
10100102,00008100:001994ee
06300631,00008100:000e3c42
04300622,00008100:000a317f
01401046,00008100:0014b9e6
01401046,00008100:0014b9f4
01401046,00008100:0014ba0f
01401046,00008100:0014bdcf
01401046,00008100:0014bf39
01401046,00008100:0014bf47
01401046,00008100:0014bf65
03300516,00008100:0016ce4b
03300516,00008100:0016cec6
03300516,00008100:0016cefe
05200527,00008100:0011dfa7
05200527,00008100:0011dfa9
05200527,00008100:0011e113
06100209,00008100:000e3746
06100209,00008100:000e3999
06100209,00008100:000e3c93
06100209,00008100:000e3ca2
06100209,00008100:000e3ca6
06100209,00008100:000e3ca8
06100209,00008100:000e3ca9
11100205,00008100:001c95ea
11100205,00008100:001c966f
10200423,00008100:00199361
10200423,00008100:001993c3
10200423,00008100:0020a38b
04501044,00008100:000a326f
04501044,00008100:000a3273
06400840,00008100:000e3a96
06400840,00008100:000e3a97
06400840,00008100:000e3acb
04200311,00008100:000a317e
12100102,00008100:0010437f
12100102,00008100:00104442
12100102,00008100:0010449b
12100102,00008100:00250496
12100102,00008100:002adcb5
10400836,00008100:00199231
10400836,00008100:0019972e
05200419,00008100:0011dfb1
06100101,00008100:000e3952
06100101,00008100:000e399e
06100101,00008100:000e39a4
06100101,00008100:000e39a5
05200630,00008100:0011df88
05200630,00008100:0011dfa8
05200630,00008100:0011e021
05200630,00008100:0011e2a4
05200630,00008100:00212c40
05200630,00008100:002abfb6
07400825,00008100:0012d906
10200525,00008100:0019931b
10200525,00008100:0019935e
11300725,00008100:001c949d
11300725,00008100:002109d2
11300725,00008100:002523cd
11100307,00008100:001c95b4
11100307,00008100:001c95e9
11100307,00008100:001c960d
11100307,00008100:001c9621
12200308,00008100:00104398
12200308,00008100:00104534
12200308,00008100:00104537
12200308,00008100:001045dd
06200421,00008100:000e39a1
06200421,00008100:000e3c68
01400938,00008100:0014bdd9
01400938,00008100:0014bf17
01400938,00008100:0014bf27
01400938,00008100:0014bf29
01400938,00008100:0014bf2b
01400938,00008100:0014bf35
01400938,00008100:0014bf41
01400938,00008100:0014bf51
03500934,00008100:0016cf49
06400735,00008100:000e3882
06400735,00008100:000e3a65
06400735,00008100:000e3b7d
06400735,00008100:000e3b7e
09200717,00008100:001c6723
09200717,00008100:001c6724
09200717,00008100:001c6726
09200717,00008100:001c6727
09200717,00008100:001c6728
09200717,00008100:001c672b
06400844,00008100:000e382f
06400844,00008100:000e3833
06400844,00008100:000e387c
06400844,00008100:000e38a0
06400844,00008100:000e38ae
06400844,00008100:000e3bf6
06300634,00008100:000e3965
06300634,00008100:000e3c94
06300634,00008100:000e3c9c
06300634,00008100:000e3ca0
02500726,00008100:00146bdf
12601032,00008100:0010442f
05100315,00008100:0011dfc0
05100315,00008100:0011e130
12400722,00008100:00104637
08300934,00008100:000a6e50
08300934,00008100:000a6e52
05100208,00008100:0011deb8
05100208,00008100:0011df49
05100208,00008100:0011df86
05100208,00008100:0011df92
05100208,00008100:002336fb
05100208,00008100:00238786
05100207,00008100:002a19dc
02500835,00008100:00146b98
02500835,00008100:00146cf1
05200528,00008100:0011df98
04400832,00008100:000a3265
04400832,00008100:000a328b
04400832,00008100:000a328c
12400619,00008100:00104385
12400619,00008100:001043f0
01401047,00008100:0014b9b2
01401047,00008100:0014ba4e
01401047,00008100:0014bdcf
01401047,00008100:0014bf0f
01401047,00008100:0014bf3a
01401047,00008100:0014bf47
11200512,00008100:001c95aa
11200512,00008100:001c9622
03601243,00008100:0016cfd5
10400835,00008100:00199342
10400835,00008100:0021acc3
05100313,00008100:0011df24
05100313,00008100:0011dfb8
05100313,00008100:0011e2dc
09300921,00008100:001c64ea
10100316,00008100:001991a4
10100316,00008100:00199255
10100316,00008100:001994a6
10100316,00008100:001994cf
10100316,00008100:002819d0
10100316,00008100:002819d1
11401032,00008100:001c934e
05100317,00008100:0011dfaf
05100317,00008100:0011dfc5
06200315,00008100:000e3bb5
06200315,00008100:000e3c2f
04400833,00008100:000a3268
04400833,00008100:000a328d
09501838,00008100:001c64f2
09501838,00008100:001c655d
09501838,00008100:001c69e6
09501838,00008100:00248bdc
09501838,00008100:0026fda9
03601244,00008100:0016cf08
03601244,00008100:0016cf9d
03601244,00008100:0016cfd4
12400720,00008100:00104411
11501340,00008100:001c9479
11501340,00008100:001c955a
11501340,00008100:001c9609
11501340,00008100:001c961e
11501340,00008100:001c96f3
11501340,00008100:00210b4c
07200414,00008100:0012db6c
07200414,00008100:0012dcca
07200414,00008100:0012dccc
07200414,00008100:0021a9af
07200414,00008100:0021a9ca
07200414,00008100:0021a9cb
07200410,00008100:0012dcc8
07200410,00008100:0012dccb
07200410,00008100:0012dcd2
09301126,00008100:001c69e7
