PLR_id,PLR_name,area_sqm,playground_count,playground_area,poverty,total_population,total_children,<6,6-15,15-18
1100101,Stülerstraße,366933.12,0.0,0.0,19.398,3436.0,337.0,140.0,159.0,38.0
1100102,Großer Tiergarten,3919852.22,6.0,4982.0,8.333,1791.0,222.0,91.0,106.0,25.0
1100103,Lützowstraße,547183.23,5.0,5043.0,32.632,5251.0,705.0,273.0,318.0,114.0
1100104,Körnerstraße,338513.95,5.0,5677.0,39.94,4677.0,790.0,261.0,398.0,131.0
1100205,Wilhelmstraße,634656.82,0.0,0.0,19.758,2732.0,316.0,120.0,138.0,58.0
1100206,Unter den Linden,1297220.38,0.0,0.0,12.903,1823.0,243.0,102.0,110.0,31.0
1100207,Leipziger Straße,763632.87,3.0,4736.0,18.895,8379.0,1060.0,479.0,444.0,137.0
1100308,Charitéviertel,1682630.37,4.0,4274.0,4.718,7032.0,974.0,438.0,441.0,95.0
1100309,Oranienburger Straße,1011360.28,14.0,12407.0,12.837,12314.0,1952.0,691.0,950.0,311.0
1100310,Alexanderplatzviertel,1365179.02,5.0,5091.0,20.459,10043.0,1180.0,496.0,540.0,144.0
1100311,Karl-Marx-Allee,807969.28,12.0,10626.0,38.727,9197.0,1348.0,527.0,652.0,169.0
1100312,Heine-Viertel West,643620.27,7.0,7842.24,13.897,9772.0,1189.0,568.0,504.0,117.0
1100313,Heine-Viertel Ost,718074.52,5.0,2165.0,16.221,10715.0,1341.0,630.0,571.0,140.0
1100414,Nordbahnhof,373032.14,1.0,1070.0,9.423,5185.0,927.0,489.0,361.0,77.0
1100415,Invalidenstraße,780156.01,9.0,12960.0,7.099,12666.0,2082.0,727.0,1049.0,306.0
1100416,Arkonaplatz,602008.98,4.0,6082.0,5.693,13435.0,2357.0,936.0,1181.0,240.0
1200517,Huttenkiez,2484997.12,5.0,7987.0,58.7,3723.0,593.0,244.0,252.0,97.0
1200518,Beusselkiez,236852.7,3.0,2318.0,51.083,6851.0,920.0,365.0,427.0,128.0
1200519,Emdener Straße,347161.16,7.0,6453.0,41.851,9097.0,1228.0,455.0,583.0,190.0
1200520,Bremer Straße,429962.47,4.0,5363.0,31.256,9375.0,1238.0,495.0,572.0,171.0
1200521,Zwinglistraße,166607.92,5.0,7444.0,51.399,5208.0,816.0,290.0,393.0,133.0
1200522,Elberfelder Straße,639464.56,7.0,2988.0,13.633,11365.0,1498.0,599.0,672.0,227.0
1200623,Stephankiez,896488.24,8.0,9918.0,28.665,10763.0,1565.0,636.0,713.0,216.0
1200624,Heidestraße,688003.29,3.0,2065.0,21.703,5709.0,896.0,470.0,343.0,83.0
1200625,Lübecker Straße,325107.55,2.0,2377.0,47.308,6910.0,1206.0,422.0,582.0,202.0
1200626,Thomasiusstraße,552849.44,7.0,7746.0,16.691,5873.0,763.0,306.0,355.0,102.0
1200627,Zillesiedlung,174355.31,0.0,0.0,46.276,3263.0,719.0,249.0,369.0,101.0
1200628,Lüneburger Straße,745620.77,2.0,1558.0,13.393,3182.0,421.0,140.0,201.0,80.0
1200629,Hansaviertel,533332.6,2.0,574.0,14.088,5913.0,539.0,213.0,246.0,80.0
1300730,Drontheimer Straße,452957.42,8.0,8490.0,65.312,7990.0,1710.0,582.0,869.0,259.0
1300731,Koloniestraße,666936.95,8.0,5860.0,61.983,8533.0,1555.0,574.0,737.0,244.0
1300732,Soldiner Straße,588082.7,5.0,4414.0,61.62,9837.0,1968.0,745.0,932.0,291.0
1300733,Gesundbrunnen,658295.46,6.0,7854.0,55.963,11523.0,2017.0,685.0,1026.0,306.0
1300834,Brunnenstraße,775000.1,6.0,7973.0,52.309,14263.0,3257.0,1121.0,1647.0,489.0
1300835,Humboldthain Süd,1103905.65,9.0,7849.0,44.779,10426.0,1904.0,681.0,960.0,263.0
1300836,Humboldthain Nordwest,1441462.64,16.0,9956.0,61.476,14594.0,2635.0,907.0,1271.0,457.0
1400937,Afrikanische Straße,3674275.01,9.0,6688.0,42.9,10640.0,1518.0,588.0,707.0,223.0
1400938,Kameruner Straße,1196162.43,8.0,6231.0,46.335,9708.0,1430.0,531.0,657.0,242.0
1400939,Glasgower Straße,364634.09,1.0,239.0,45.209,5921.0,844.0,352.0,382.0,110.0
1400940,Schillerpark,917917.74,9.0,3771.0,43.341,6748.0,1070.0,464.0,488.0,118.0
1400941,Londoner Straße,450354.62,2.0,323.0,42.347,3761.0,441.0,198.0,189.0,54.0
